sku,qty,location
BU01F01177,10,13290Daum
BU05K02274,3,13290Daum
BU01F01177,20,13290Daum
BU24S02631,18,13290Daum
BU01F00173,54,13290Daum
BU01F00179,20,13290Daum
BU02P00637,24,13290Daum
BU02P01761,6,13290Daum
BU02P01060,21,13290Daum
BU02P00279,10,13290Daum
BU02P00414,30,13290Daum
BU02P03968,1,13290Daum
BU02P00226,6,13290Daum
BU02P03855,6,13290Daum
BU02P00313,1,13290Daum
BU02P00213,12,13290Daum
BU02P00691,6,13290Daum
BU02P01764,1,13290Daum
BU02P03136,1,13290Daum
BU02P00279,6,13290Daum
BU02P03022,1,13290Daum
BU02P00198,10,13290Daum
BU02P00226,48,13290Daum
BU02P00410,28,13290Daum
BU02P00226,30,13290Daum
BU02P00256,46,13290Daum
BU02P00225,12,13290Daum
BU02P00279,24,13290Daum
BU02P01049,6,13290Daum
BU02P00264,18,13290Daum
BU02P00373,30,13290Daum
BU02P00361,50,13290Daum
BU11J01535,13,13290Daum
BU02P02122,2,13290Daum
BU02P02018,1,13290Daum
BU02P00646,30,13290Daum
BU02P01767,6,13290Daum
BU02P03911,6,13290Daum
BU02P01056,2,13290Daum
BU02P00201,4,13290Daum
BU02P00638,38,13290Daum
BU02P02065,6,13290Daum
BU02P01060,28,13290Daum
BU02P01248,6,13290Daum
BU02P01932,39,13290Daum
BU02P01061,42,13290Daum
BU02P00641,10,13290Daum
BU02P00633,31,13290Daum
BU02P00646,6,13290Daum
BU02P00640,30,13290Daum
BU02P00645,48,13290Daum
BU02P00647,12,13290Daum
BU02P00643,26,13290Daum
BU02P04103,6,13290Daum
BU02P00642,36,13290Daum
BU02P00690,24,13290Daum
BU02P03196,10,13290Daum
BU02P00314,36,13290Daum
BU05K00757,11,13290Daum
BU05K02201,4,13290Daum
BU05K01698,32,13290Daum
BU05K00708,10,13290Daum
BU05K00747,9,13290Daum
BU05K00830,38,13290Daum
BU05K00721,31,13290Daum
BU05K02197,4,13290Daum
BU05K02190,8,13290Daum
BU04O00551,1,13290Daum
BU05K01090,10,13290Daum
BU05K00753,32,13290Daum
BU05K00601,6,13290Daum
BU05K01699,10,13290Daum
BU02P01061,30,13290Daum
BU05K00620,29,13290Daum
BU11J02247,30,13290Daum
BU11J02265,3,13290Daum
BU02P01763,0,13290Daum
BU02P03029,6,13290Daum
BU02P00633,50,13290Daum
BU11J02251,17,13290Daum
